"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"15","vinceja01",1982,"Jay Vincent",22,"DAL","PF",81,62,2626,719,1448,0.497,1,4,0.25,718,1444,0.497,0.497,293,409,0.716,182,383,565,176,89,22,194,308,1732,"MVP-21,ROY-3"
"16","mitchmi01",1982,"Mike Mitchell",26,"2TM","SF",84,83,3063,753,1477,0.51,0,7,0,753,1470,0.512,0.51,220,302,0.728,244,346,590,82,60,43,153,277,1726,""
"17","willira01",1982,"Ray Williams",27,"NJN","SG",82,69,2732,639,1383,0.462,9,54,0.167,630,1329,0.474,0.465,387,465,0.832,117,208,325,488,199,43,290,302,1674,"MVP-16"
"18","thompmy01",1982,"Mychal Thompson",27,"POR","C",79,78,3129,681,1303,0.523,0,0,NA,681,1303,0.523,0.523,280,446,0.628,258,663,921,319,69,107,245,233,1642,"MVP-21"
"19","sikmaja01",1982,"Jack Sikma",26,"SEA","C",82,82,3049,581,1212,0.479,2,13,0.154,579,1199,0.483,0.48,447,523,0.855,223,815,1038,277,102,107,213,268,1611,"MVP-9,AS"
"20","parisro01",1982,"Robert Parish",28,"BOS","C",80,78,2534,669,1235,0.542,0,0,NA,669,1235,0.542,0.542,252,355,0.71,288,578,866,140,68,192,221,267,1590,"MVP-4,AS,NBA2"
"21","griffda01",1982,"Darrell Griffith",23,"UTA","SG",80,79,2597,689,1429,0.482,15,52,0.288,674,1377,0.489,0.487,189,271,0.697,128,177,305,187,95,34,193,213,1582,""
"22","moncrsi01",1982,"Sidney Moncrief",24,"MIL","SG",80,80,2980,556,1063,0.523,1,14,0.071,555,1049,0.529,0.524,468,573,0.817,221,313,534,382,138,22,208,206,1581,"MVP-7,AS,NBA2"
"23","johnsde01",1982,"Dennis Johnson",27,"PHO","SG",80,77,2937,577,1228,0.47,8,42,0.19,569,1186,0.48,0.473,399,495,0.806,142,268,410,369,105,55,233,253,1561,"MVP-21,AS"
"24","paxsoji02",1982,"Jim Paxson",24,"POR","SG",82,82,2756,662,1258,0.526,8,35,0.229,654,1223,0.535,0.529,220,287,0.767,75,146,221,276,129,12,144,159,1552,""
"25","gilmoar01",1982,"Artis Gilmore",32,"CHI","C",82,82,2796,546,837,0.652,1,1,1,545,836,0.652,0.653,424,552,0.768,224,611,835,136,49,220,227,287,1517,"AS"
"26","longjo01",1982,"John Long",25,"DET","SG",69,66,2211,637,1294,0.492,2,15,0.133,635,1279,0.496,0.493,238,275,0.865,95,162,257,148,65,25,167,173,1514,""
"27","theusre01",1982,"Reggie Theus",24,"CHI","SG",82,82,2838,560,1194,0.469,25,100,0.25,535,1094,0.489,0.479,363,449,0.808,115,197,312,476,87,16,277,243,1508,""
"28","ballagr01",1982,"Greg Ballard",27,"WSB","SF",79,79,2946,621,1307,0.475,9,22,0.409,612,1285,0.476,0.479,235,283,0.83,136,497,633,250,137,22,119,204,1486,""
"29","richami01",1982,"Micheal Ray Richardson",26,"NYK","PG",82,79,3044,619,1343,0.461,19,101,0.188,600,1242,0.483,0.468,212,303,0.7,177,388,565,572,213,41,291,317,1469,"AS"
"30","johnsma02",1982,"Magic Johnson",22,"LAL","SG",78,77,2991,556,1036,0.537,6,29,0.207,550,1007,0.546,0.54,329,433,0.76,252,499,751,743,208,34,286,223,1447,"MVP-8,AS,NBA2"
"31","nixonno01",1982,"Norm Nixon",26,"LAL","PG",82,82,3024,628,1274,0.493,3,12,0.25,625,1262,0.495,0.494,181,224,0.808,38,138,176,652,132,7,238,264,1440,"AS"
"32","robintr01",1982,"Truck Robinson",30,"PHO","PF",74,72,2745,579,1128,0.513,1,1,1,578,1127,0.513,0.514,255,371,0.687,202,519,721,179,42,28,202,215,1414,""
"33","davisjo01",1982,"Johnny Davis",26,"IND","SG",82,70,2664,538,1153,0.467,5,27,0.185,533,1126,0.473,0.469,315,394,0.799,72,106,178,346,76,11,186,176,1396,""
"34","chambto01",1982,"Tom Chambers",22,"SDC","PF",81,58,2682,554,1056,0.525,0,2,0,554,1054,0.526,0.525,284,458,0.62,211,350,561,146,58,46,220,341,1392,""
"35","brewero01",1982,"Ron Brewer",26,"2TM","SG",72,45,2319,569,1194,0.477,8,31,0.258,561,1163,0.482,0.48,211,260,0.812,55,106,161,188,82,30,125,151,1357,""
"36","nattca01",1982,"Calvin Natt",25,"POR","SF",75,71,2599,515,894,0.576,2,8,0.25,513,886,0.579,0.577,294,392,0.75,193,420,613,150,62,36,140,175,1326,""
"37","hayesel01",1982,"Elvin Hayes",36,"HOU","PF",82,82,3032,519,1100,0.472,0,5,0,519,1095,0.474,0.472,280,422,0.664,267,480,747,144,62,104,208,287,1318,""
"38","woodsmi01",1982,"Mike Woodson",23,"2TM","SG",83,74,2331,538,1069,0.503,7,25,0.28,531,1044,0.509,0.507,221,286,0.773,102,145,247,222,142,35,153,220,1304,""
"39","drewjo01",1982,"John Drew",27,"ATL","SF",70,51,2040,465,957,0.486,4,12,0.333,461,945,0.488,0.488,364,491,0.741,169,206,375,96,64,3,178,250,1298,""
"40","carrojo01",1982,"Joe Barry Carroll",23,"GSW","C",76,75,2627,527,1016,0.519,0,1,0,527,1015,0.519,0.519,235,323,0.728,210,423,633,64,64,127,206,265,1289,""
"41","edwarja01",1982,"James Edwards",26,"CLE","C",77,75,2539,528,1033,0.511,0,4,0,528,1029,0.513,0.511,232,339,0.684,189,392,581,123,24,117,162,347,1288,""
"42","brookmi01",1982,"Michael Brooks",23,"SDC","SF",82,73,2750,537,1066,0.504,0,7,0,537,1059,0.507,0.504,202,267,0.757,207,417,624,236,113,39,197,285,1276,""
"43","toneyan01",1982,"Andrew Toney",24,"PHI","SG",77,1,1909,511,979,0.522,25,59,0.424,486,920,0.528,0.535,227,306,0.742,43,91,134,283,64,17,214,269,1274,""
"44","willibu01",1982,"Buck Williams",21,"NJN","PF",82,82,2825,513,881,0.582,0,1,0,513,880,0.583,0.582,242,388,0.624,347,658,1005,107,84,84,235,285,1268,"MVP-21,ROY-1,AS"
"45","lucasma01",1982,"Maurice Lucas",29,"NYK","PF",80,74,2671,505,1001,0.504,0,3,0,505,998,0.506,0.504,253,349,0.725,274,629,903,179,68,70,173,309,1263,""
"46","robincl01",1982,"Cliff Robinson",21,"2TM","PF",68,59,2175,518,1143,0.453,0,4,0,518,1139,0.455,0.453,222,313,0.709,174,435,609,120,88,103,149,222,1258,""
"47","ranseke01",1982,"Kelvin Ransey",23,"POR","PG",78,68,2418,504,1095,0.46,3,38,0.079,501,1057,0.474,0.462,242,318,0.761,39,147,186,555,97,4,229,169,1253,""
"48","thomais01",1982,"Isiah Thomas",20,"DET","PG",72,72,2433,453,1068,0.424,17,59,0.288,436,1009,0.432,0.432,302,429,0.704,57,152,209,565,150,17,299,253,1225,"MVP-17,AS"
"49","johnsed02",1982,"Eddie Johnson",26,"ATL","SG",68,57,2314,455,1011,0.45,7,30,0.233,448,981,0.457,0.454,294,385,0.764,63,128,191,358,102,16,186,188,1211,""
"50","sheltlo01",1982,"Lonnie Shelton",26,"SEA","PF",81,81,2667,508,1046,0.486,0,8,0,508,1038,0.489,0.486,188,240,0.783,161,348,509,252,99,43,199,317,1204,"AS"
"51","greenri01",1982,"Rickey Green",27,"UTA","PG",81,73,2822,500,1015,0.493,0,8,0,500,1007,0.497,0.493,202,264,0.765,85,158,243,630,185,9,198,183,1202,""
"52","greenda01",1982,"Dave Greenwood",24,"CHI","PF",82,82,2914,480,1014,0.473,0,3,0,480,1011,0.475,0.473,240,291,0.825,192,594,786,262,70,93,180,292,1200,""
"53","adamsal01",1982,"Alvan Adams",27,"PHO","C",79,75,2393,507,1027,0.494,0,1,0,507,1026,0.494,0.494,182,233,0.781,138,448,586,356,114,78,196,269,1196,""
"54","rulanje01",1982,"Jeff Ruland",23,"WSB","C",82,0,2214,420,749,0.561,1,3,0.333,419,746,0.562,0.561,342,455,0.752,253,509,762,134,44,58,237,319,1183,""
"55","macyky01",1982,"Kyle Macy",24,"PHO","PG",82,72,2845,486,945,0.514,39,100,0.39,447,845,0.529,0.535,152,169,0.899,78,183,261,384,143,9,125,185,1163,""
"56","maxwece01",1982,"Cedric Maxwell",26,"BOS","SF",78,73,2590,397,724,0.548,0,3,0,397,721,0.551,0.548,357,478,0.747,218,281,499,183,79,49,174,263,1151,""
"57","roundda01",1982,"Dan Roundfield",28,"ATL","PF",61,58,2217,424,910,0.466,1,5,0.2,423,905,0.467,0.466,285,375,0.76,227,494,721,162,64,93,183,210,1134,"MVP-11,AS"
"58","mchalke01",1982,"Kevin McHale",24,"BOS","PF",82,33,2332,465,875,0.531,0,0,NA,465,875,0.531,0.531,187,248,0.754,191,365,556,91,30,185,137,264,1117,""
"59","jonesbo01",1982,"Bobby Jones",30,"PHI","PF",76,73,2181,416,737,0.564,0,3,0,416,734,0.567,0.564,263,333,0.79,109,284,393,189,99,112,145,211,1095,"AS"
"60","shortpu01",1982,"Purvis Short",24,"GSW","SF",76,8,1782,456,935,0.488,6,28,0.214,450,907,0.496,0.491,177,221,0.801,123,143,266,209,65,10,122,220,1095,""
"61","blackro01",1982,"Rolando Blackman",22,"DAL","SG",82,16,1979,439,855,0.513,1,4,0.25,438,851,0.515,0.514,212,276,0.768,97,157,254,105,46,30,113,122,1091,""
"62","russeca02",1982,"Campy Russell",30,"NYK","SF",77,63,2358,410,858,0.478,25,57,0.439,385,801,0.481,0.492,228,294,0.776,86,150,236,284,77,12,195,221,1073,""
"63","cartwbi01",1982,"Bill Cartwright",24,"NYK","C",72,50,2060,390,694,0.562,0,0,NA,390,694,0.562,0.562,257,337,0.763,116,305,421,87,48,65,166,208,1037,""
"64","reidro01",1982,"Robert Reid",26,"HOU","SF",77,75,2913,437,958,0.456,1,10,0.1,436,948,0.46,0.457,160,214,0.748,175,336,511,314,115,48,157,297,1035,""
"65","grunfer01",1982,"Ernie Grunfeld",26,"KCK","SG",81,11,1892,420,822,0.511,2,14,0.143,418,808,0.517,0.512,188,229,0.821,55,127,182,276,72,39,148,191,1030,""
"66","haywosp01",1982,"Spencer Haywood",32,"WSB","PF",76,63,2086,395,829,0.476,0,3,0,395,826,0.478,0.476,219,260,0.842,144,278,422,64,45,68,175,249,1009,""
"67","johnsst03",1982,"Steve Johnson",24,"KCK","C",78,50,1741,395,644,0.613,0,0,NA,395,644,0.613,0.613,212,330,0.642,152,307,459,91,39,89,197,372,1002,""
"68","knighbi01",1982,"Billy Knight",29,"IND","SF",81,19,1803,378,764,0.495,9,32,0.281,369,732,0.504,0.501,233,282,0.826,97,160,257,118,63,14,137,132,998,""
"69","laniebo01",1982,"Bob Lanier",33,"MIL","C",74,72,1986,407,729,0.558,0,2,0,407,727,0.56,0.558,182,242,0.752,92,296,388,219,72,56,166,211,996,"AS"
"70","whiteje01",1982,"Jerome Whitehead",25,"SDC","C",72,63,2214,406,726,0.559,0,0,NA,406,726,0.559,0.559,184,241,0.763,231,433,664,102,48,44,141,290,996,""
"71","davisbr01",1982,"Brad Davis",26,"DAL","PG",82,82,2614,397,771,0.515,14,49,0.286,383,722,0.53,0.524,185,230,0.804,35,191,226,509,73,6,159,218,993,""
"72","johnsma01",1982,"Marques Johnson",25,"MIL","SF",60,52,1900,404,760,0.532,0,4,0,404,756,0.534,0.532,182,260,0.7,153,211,364,213,59,35,145,142,990,"MVP-17"
"73","johnsmi01",1982,"Mickey Johnson",29,"MIL","PF",76,71,1934,372,757,0.491,1,7,0.143,371,750,0.495,0.492,233,291,0.801,133,321,454,215,72,45,191,240,978,""
"74","mahorri01",1982,"Rick Mahorn",23,"WSB","PF",80,80,2664,414,816,0.507,0,3,0,414,813,0.509,0.507,148,234,0.632,149,555,704,150,57,138,162,349,976,""
"75","kingre01",1982,"Reggie King",24,"KCK","SF",80,76,2609,383,752,0.509,0,0,NA,383,752,0.509,0.509,201,285,0.705,162,361,523,173,84,29,155,221,967,""
"76","wintebr01",1982,"Brian Winters",29,"MIL","SG",61,13,1829,404,806,0.501,36,93,0.387,368,713,0.516,0.524,123,156,0.788,51,119,170,253,57,9,118,187,967,""
"77","aguirma01",1982,"Mark Aguirre",22,"DAL","SF",51,20,1468,381,820,0.465,25,71,0.352,356,749,0.475,0.48,168,247,0.68,89,160,249,164,37,22,135,152,955,""
"78","greveke01",1982,"Kevin Grevey",28,"WSB","SG",71,62,2164,376,857,0.439,28,82,0.341,348,775,0.449,0.455,165,193,0.855,57,138,195,149,44,23,96,151,945,""
"79","willihe01",1982,"Herb Williams",23,"IND","C",82,75,2277,407,854,0.477,2,7,0.286,405,847,0.478,0.478,126,188,0.67,175,430,605,139,53,178,137,200,942,""
"80","olberma01",1982,"Mark Olberding",25,"SAS","PF",68,63,2098,333,705,0.472,2,12,0.167,331,693,0.478,0.474,273,338,0.808,118,321,439,202,57,29,139,253,941,""
"81","bensoke01",1982,"Kent Benson",27,"DET","C",75,72,2467,405,802,0.505,3,11,0.273,402,791,0.508,0.507,127,158,0.804,219,434,653,159,66,98,160,214,940,""
"82","soberri01",1982,"Ricky Sobers",29,"CHI","SG",80,6,1938,363,801,0.453,19,76,0.25,344,725,0.474,0.465,195,254,0.768,37,105,142,301,73,18,217,238,940,""
"83","brownfr01",1982,"Fred Brown",33,"SEA","SG",82,2,1785,393,863,0.455,25,77,0.325,368,786,0.468,0.47,111,129,0.86,42,98,140,238,69,4,96,111,922,""
"84","kingal01",1982,"Albert King",22,"NJN","SF",76,52,1694,391,812,0.482,3,13,0.231,388,799,0.486,0.483,133,171,0.778,105,207,312,142,64,36,180,261,918,""
"85","orrlo01",1982,"Louis Orr",23,"IND","SF",80,41,1951,357,719,0.497,1,8,0.125,356,711,0.501,0.497,203,254,0.799,127,204,331,134,56,26,137,182,918,""
"86","okoremi01",1982,"Mike O'Koren",23,"NJN","SF",80,32,2018,383,778,0.492,8,23,0.348,375,755,0.497,0.497,135,189,0.714,111,194,305,192,83,13,147,175,909,""
"87","coopemi01",1982,"Michael Cooper",25,"LAL","SG",76,14,2197,383,741,0.517,2,17,0.118,381,724,0.526,0.518,139,171,0.813,84,185,269,230,120,61,151,216,907,"MVP-17"
"88","bucknqu01",1982,"Quinn Buckner",27,"MIL","PG",70,70,2156,396,822,0.482,4,15,0.267,392,807,0.486,0.484,110,168,0.655,77,173,250,328,174,3,180,218,906,""
"89","thompda01",1982,"David Thompson",27,"DEN","SG",61,5,1246,313,644,0.486,4,14,0.286,309,630,0.49,0.489,276,339,0.814,57,91,148,117,34,29,142,149,906,""
"90","cookda01",1982,"Darwin Cook",23,"NJN","PG",82,17,2090,387,803,0.482,7,31,0.226,380,772,0.492,0.486,118,162,0.728,52,103,155,319,146,24,175,196,899,""
"91","carrke01",1982,"Kenny Carr",26,"2TM","PF",74,48,1926,348,692,0.503,1,10,0.1,347,682,0.509,0.504,198,302,0.656,167,364,531,86,64,22,152,249,895,""
"92","hollili01",1982,"Lionel Hollins",28,"PHI","PG",81,81,2257,380,797,0.477,2,16,0.125,378,781,0.484,0.478,132,188,0.702,35,152,187,316,103,20,146,198,894,""
"93","bryanjo01",1982,"Joe Bryant",27,"SDC","SF",75,49,1988,341,701,0.486,8,30,0.267,333,671,0.496,0.492,194,247,0.785,79,195,274,189,78,29,183,250,884,""
"94","cheekma01",1982,"Maurice Cheeks",25,"PHI","PG",79,79,2498,352,676,0.521,6,22,0.273,346,654,0.529,0.525,171,220,0.777,51,197,248,667,209,33,184,247,881,""
"95","mckinbi01",1982,"Billy McKinney",26,"DEN","PG",81,27,1963,369,699,0.528,0,17,0,369,682,0.541,0.528,137,170,0.806,29,113,142,338,69,16,115,186,875,""
"96","drewla01",1982,"Larry Drew",23,"KCK","PG",81,19,1973,358,757,0.473,8,27,0.296,350,730,0.479,0.478,150,189,0.794,30,119,149,419,110,1,174,150,874,""
"97","lestero01",1982,"Ronnie Lester",23,"CHI","PG",75,74,2252,329,657,0.501,4,8,0.5,325,649,0.501,0.504,208,256,0.813,75,138,213,362,80,14,185,158,870,""
"98","leaveal01",1982,"Allen Leavell",24,"HOU","PG",79,61,2150,370,793,0.467,9,31,0.29,361,762,0.474,0.472,115,135,0.852,49,119,168,457,150,15,153,182,864,""
"99","architi01",1982,"Tiny Archibald",33,"BOS","PG",68,51,2167,308,652,0.472,6,16,0.375,302,636,0.475,0.477,236,316,0.747,25,91,116,541,52,3,178,131,858,"AS"
"100","sparrro01",1982,"Rory Sparrow",23,"ATL","PG",82,82,2610,366,730,0.501,1,15,0.067,365,715,0.51,0.502,124,148,0.838,53,171,224,424,87,13,145,240,857,""
"101","smithph01",1982,"Phil Smith",29,"2TM","SG",74,41,2042,340,761,0.447,5,27,0.185,335,734,0.456,0.45,163,223,0.731,51,135,186,307,67,27,155,213,848,""
"102","hubbaph01",1982,"Phil Hubbard",25,"2TM","SF",83,40,1839,326,665,0.49,0,4,0,326,661,0.493,0.49,191,280,0.682,187,286,473,91,65,19,161,292,843,""
"103","johnsfr01",1982,"Frank Johnson",23,"WSB","PG",79,29,2027,336,812,0.414,17,79,0.215,319,733,0.435,0.424,153,204,0.75,34,113,147,380,76,7,160,196,842,""
"104","bantomi01",1982,"Mike Bantom",30,"2TM","SF",82,38,2016,334,712,0.469,2,6,0.333,332,706,0.47,0.471,168,267,0.629,174,266,440,114,63,61,149,272,838,""
"105","hendege01",1982,"Gerald Henderson",26,"BOS","PG",82,31,1844,353,705,0.501,2,12,0.167,351,693,0.506,0.502,125,172,0.727,47,105,152,252,82,11,150,199,833,""
"106","batesbi01",1982,"Billy Ray Bates",25,"POR","SG",75,0,1229,327,692,0.473,12,41,0.293,315,651,0.484,0.481,166,211,0.787,53,55,108,111,41,5,93,100,832,""
"107","corzida01",1982,"Dave Corzine",25,"SAS","C",82,21,2189,336,648,0.519,1,4,0.25,335,644,0.52,0.519,159,213,0.746,211,418,629,130,33,126,139,235,832,""
"108","willisl01",1982,"Sly Williams",24,"NYK","SF",60,27,1521,349,628,0.556,2,9,0.222,347,619,0.561,0.557,131,173,0.757,100,127,227,142,77,16,114,153,831,""
"109","spanaji01",1982,"Jim Spanarkel",24,"DAL","SG",82,1,1755,270,564,0.479,8,24,0.333,262,540,0.485,0.486,279,327,0.853,99,111,210,206,86,9,111,140,827,""
"110","smithra01",1982,"Randy Smith",33,"NYK","SG",82,40,2033,348,748,0.465,3,11,0.273,345,737,0.468,0.467,122,151,0.808,53,102,155,255,91,1,124,199,821,""
"111","johnsre01",1982,"Reggie Johnson",24,"3TM","PF",75,48,1904,351,662,0.53,0,1,0,351,661,0.531,0.53,118,156,0.756,140,311,451,73,33,60,100,257,820,""
"112","tylerte01",1982,"Terry Tyler",25,"DET","PF",82,0,1989,336,643,0.523,1,4,0.25,335,639,0.524,0.523,142,192,0.74,154,339,493,126,77,160,121,182,815,""
"113","hustoge01",1982,"Geoff Huston",24,"CLE","PG",78,43,2409,325,672,0.484,3,10,0.3,322,662,0.486,0.486,153,200,0.765,53,97,150,590,70,11,171,169,806,""
"114","busedo01",1982,"Don Buse",31,"IND","PG",82,78,2529,312,685,0.455,73,189,0.386,239,496,0.482,0.509,100,123,0.813,46,177,223,407,164,27,95,176,797,""
"115","daviswa03",1982,"Walter Davis",27,"PHO","SF",55,12,1182,350,669,0.523,3,16,0.188,347,653,0.531,0.525,91,111,0.82,21,82,103,162,46,3,112,104,794,""
"116","collido02",1982,"Don Collins",23,"WSB","SG",79,18,1609,334,653,0.511,1,12,0.083,333,641,0.52,0.512,121,169,0.716,101,95,196,148,89,24,135,195,790,""
"117","owensto01",1982,"Tom Owens",32,"IND","PF",74,40,1599,299,636,0.47,1,2,0.5,298,634,0.47,0.471,181,226,0.801,142,230,372,127,41,37,137,259,780,""
"118","jonesdw01",1982,"Dwight Jones",29,"CHI","PF",78,18,2040,303,572,0.53,1,1,1,302,571,0.529,0.531,172,238,0.723,156,351,507,114,49,36,155,217,779,""
"119","banksge01",1982,"Gene Banks",22,"SAS","SF",80,4,1700,311,652,0.477,0,8,0,311,644,0.483,0.477,145,212,0.684,157,254,411,147,55,17,106,199,767,""
"120","wilkije01",1982,"Jeff Wilkins",26,"UTA","C",82,62,2274,314,718,0.437,0,3,0,314,715,0.439,0.437,137,176,0.778,120,491,611,90,32,77,134,248,765,""
"121","silasja01",1982,"James Silas",32,"CLE","SG",67,34,1447,251,573,0.438,0,5,0,251,568,0.442,0.438,246,286,0.86,26,83,109,222,40,6,107,109,748,""
"122","johnscl01",1982,"Clemon Johnson",25,"IND","C",79,42,1979,312,641,0.487,0,0,NA,312,641,0.487,0.487,123,189,0.651,184,387,571,127,60,112,138,241,747,""
"123","moorejo01",1982,"Johnny Moore",23,"SAS","PG",79,78,2294,309,667,0.463,1,21,0.048,308,646,0.477,0.464,122,182,0.67,62,213,275,762,163,12,175,254,741,""
"124","elmorle01",1982,"Len Elmore",29,"NJN","C",81,70,2100,300,652,0.46,0,0,NA,300,652,0.46,0.46,135,170,0.794,167,274,441,100,92,92,136,280,735,""
"125","mcmilto01",1982,"Tom McMillen",29,"ATL","C",73,23,1792,291,572,0.509,1,3,0.333,290,569,0.51,0.51,140,170,0.824,102,234,336,129,25,24,124,202,723,""
"126","willifr01",1982,"Freeman Williams",25,"2TM","SG",60,10,997,276,623,0.443,28,94,0.298,248,529,0.469,0.465,140,166,0.843,23,39,62,86,29,0,107,103,720,""
"127","laimbbi01",1982,"Bill Laimbeer",24,"2TM","C",80,34,1829,265,536,0.494,4,13,0.308,261,523,0.499,0.498,184,232,0.793,234,383,617,100,39,64,121,296,718,""
"128","wilkebo01",1982,"Bob Wilkerson",27,"CLE","SF",65,38,1805,284,679,0.418,3,18,0.167,281,661,0.425,0.42,145,185,0.784,60,190,250,237,92,25,138,188,716,""
"129","fordph01",1982,"Phil Ford",25,"KCK","PG",72,65,1952,285,649,0.439,7,32,0.219,278,617,0.451,0.445,136,166,0.819,24,81,105,451,63,1,194,160,713,""
"130","newlimi01",1982,"Mike Newlin",33,"NYK","SG",76,32,1507,286,615,0.465,7,23,0.304,279,592,0.471,0.471,126,147,0.857,36,55,91,170,33,3,104,194,705,""
"131","walkewa01",1982,"Wally Walker",27,"SEA","SF",70,70,1965,302,629,0.48,0,2,0,302,627,0.482,0.48,90,134,0.672,108,197,305,218,36,28,111,215,694,""
"132","johnsed03",1982,"Eddie Johnson",22,"KCK","SF",74,27,1517,295,643,0.459,1,11,0.091,294,632,0.465,0.46,99,149,0.664,128,194,322,109,50,14,97,210,690,""
"133","coopewa01",1982,"Wayne Cooper",25,"DAL","C",76,38,1818,281,669,0.42,1,8,0.125,280,661,0.424,0.421,119,160,0.744,200,350,550,115,37,106,88,285,682,""
"134","dunntr01",1982,"T.R. Dunn",26,"DEN","SG",82,80,2519,258,504,0.512,0,1,0,258,503,0.513,0.512,153,215,0.712,211,348,559,188,135,36,123,210,669,""
"135","lucasjo01",1982,"John Lucas",28,"WSB","PG",79,53,1940,263,618,0.426,2,22,0.091,261,596,0.438,0.427,138,176,0.784,40,126,166,551,95,6,156,105,666,""
"136","donalja01",1982,"James Donaldson",24,"SEA","C",82,1,1710,255,419,0.609,0,0,NA,255,419,0.609,0.609,151,240,0.629,138,352,490,51,27,139,115,186,661,""
"137","turneel01",1982,"Elston Turner",22,"DAL","SF",80,62,1996,282,639,0.441,0,4,0,282,635,0.444,0.441,97,138,0.703,143,158,301,189,75,2,116,182,661,""
"138","gondrgl01",1982,"Glen Gondrezick",26,"DEN","SF",80,0,1699,250,495,0.505,0,3,0,250,492,0.508,0.505,160,217,0.737,140,283,423,152,92,36,100,229,660,""
"139","baileja01",1982,"James Bailey",24,"2TM","PF",77,0,1468,261,505,0.517,0,0,NA,261,505,0.517,0.517,137,224,0.612,127,264,391,65,42,83,139,270,659,""
"140","murphca01",1982,"Calvin Murphy",33,"HOU","PG",64,0,1204,277,648,0.427,1,16,0.063,276,632,0.437,0.428,100,110,0.909,20,41,61,163,43,1,82,142,655,""
"141","schayda01",1982,"Danny Schayes",22,"UTA","C",82,20,1623,252,524,0.481,0,1,0,252,523,0.482,0.481,140,185,0.757,131,296,427,146,46,72,151,292,644,""
"142","jonesca01",1982,"Caldwell Jones",31,"PHI","C",81,47,2446,231,465,0.497,0,3,0,231,462,0.5,0.497,179,219,0.817,164,544,708,100,38,146,155,301,641,""
"143","kelleri01",1982,"Rich Kelley",28,"PHO","C",81,39,1892,236,505,0.467,0,1,0,236,504,0.468,0.467,167,223,0.749,168,329,497,293,64,71,244,292,639,""
